TimeStamp;Relative Time;srcIP;dstIP;srcPort;dstPort;ipLen;MMS Type;MMS Service;Invoke Id;Domain Id;Item Id;Object Class
15:40:51.25;1.576335000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722892;;;9
15:40:51.26;1.579245000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722892;;;
15:40:51.69;2.015327000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722893;;;9
15:40:51.71;2.030111000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722893;;;
15:40:52.93;3.248270000;192.168.1.12;192.168.1.51;35347;102;78;0;1;138541;;;9
15:40:52.94;3.261886000;192.168.1.51;192.168.1.12;102;35347;556;1;1;138541;;;
15:40:53.00;3.323282000;192.168.1.11;192.168.1.52;49623;102;78;0;1;722894;;;9
15:40:53.01;3.336354000;192.168.1.52;192.168.1.11;102;49623;564;1;1;722894;;;
15:40:54.95;5.273340000;192.168.1.12;192.168.1.52;35091;102;78;0;1;138542;;;9
15:40:54.96;5.287353000;192.168.1.52;192.168.1.12;102;35091;564;1;1;138542;;;
15:40:56.28;6.598436000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722895;;;9
15:40:56.28;6.601255000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722895;;;
15:40:56.71;7.034325000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722896;;;9
15:40:56.72;7.047718000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722896;;;
15:40:58.02;8.342598000;192.168.1.11;192.168.1.52;49623;102;78;0;1;722897;;;9
15:40:58.03;8.356521000;192.168.1.52;192.168.1.11;102;49623;564;1;1;722897;;;
15:41:01.30;11.623445000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722898;;;9
15:41:01.30;11.626343000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722898;;;
15:41:01.73;12.056424000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722899;;;9
15:41:01.75;12.070081000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722899;;;
15:41:02.96;13.279394000;192.168.1.12;192.168.1.51;35347;102;78;0;1;138543;;;9
15:41:02.97;13.293201000;192.168.1.51;192.168.1.12;102;35347;556;1;1;138543;;;
15:41:03.05;13.371437000;192.168.1.11;192.168.1.52;49623;102;78;0;1;722900;;;9
15:41:03.06;13.385192000;192.168.1.52;192.168.1.11;102;49623;564;1;1;722900;;;
15:41:04.98;15.304580000;192.168.1.12;192.168.1.52;35091;102;78;0;1;138544;;;9
15:41:04.99;15.316902000;192.168.1.52;192.168.1.12;102;35091;564;1;1;138544;;;
15:41:06.32;16.642707000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722901;;;9
15:41:06.32;16.645743000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722901;;;
15:41:06.76;17.079498000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722902;;;9
15:41:06.77;17.092166000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722902;;;
15:41:08.07;18.390766000;192.168.1.11;192.168.1.52;49623;102;78;0;1;722903;;;9
15:41:08.08;18.404647000;192.168.1.52;192.168.1.11;102;49623;564;1;1;722903;;;
15:41:11.35;21.668676000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722904;;;9
15:41:11.35;21.671511000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722904;;;
15:41:11.78;22.101795000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722905;;;9
15:41:11.79;22.115591000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722905;;;
15:41:12.97;23.291743000;192.168.1.12;192.168.1.51;35347;102;78;0;1;138545;;;9
15:41:12.98;23.305118000;192.168.1.51;192.168.1.12;102;35347;556;1;1;138545;;;
15:41:13.09;23.417807000;192.168.1.11;192.168.1.52;49623;102;78;0;1;722906;;;9
15:41:13.11;23.431352000;192.168.1.52;192.168.1.11;102;49623;564;1;1;722906;;;
15:41:15.00;25.321773000;192.168.1.12;192.168.1.52;35091;102;78;0;1;138546;;;9
15:41:15.01;25.334997000;192.168.1.52;192.168.1.12;102;35091;564;1;1;138546;;;
15:41:16.36;26.687764000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722907;;;9
15:41:16.37;26.690628000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722907;;;
15:41:16.80;27.126961000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722908;;;9
15:41:16.82;27.140574000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722908;;;
15:41:18.12;28.439024000;192.168.1.11;192.168.1.52;49623;102;78;0;1;722909;;;9
15:41:18.13;28.453097000;192.168.1.52;192.168.1.11;102;49623;564;1;1;722909;;;
15:41:21.39;31.713883000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722910;;;9
15:41:21.39;31.716589000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722910;;;
15:41:21.83;32.150863000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722911;;;9
15:41:21.84;32.163177000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722911;;;
15:41:23.00;33.322997000;192.168.1.12;192.168.1.51;35347;102;78;0;1;138547;;;9
15:41:23.01;33.336554000;192.168.1.51;192.168.1.12;102;35347;556;1;1;138547;;;
15:41:23.14;33.463953000;192.168.1.11;192.168.1.52;49623;102;78;0;1;722912;;;9
15:41:23.15;33.476852000;192.168.1.52;192.168.1.11;102;49623;564;1;1;722912;;;
15:41:25.03;35.349977000;192.168.1.12;192.168.1.52;35091;102;78;0;1;138548;;;9
15:41:25.04;35.363767000;192.168.1.52;192.168.1.12;102;35091;564;1;1;138548;;;
15:41:26.43;36.755004000;192.168.1.11;192.168.1.61;49621;102;78;0;1;722913;;;9
15:41:26.43;36.757803000;192.168.1.61;192.168.1.11;102;49621;141;1;1;722913;;;
15:41:26.87;37.191965000;192.168.1.11;192.168.1.51;49622;102;78;0;1;722914;;;9
15:41:26.88;37.205105000;192.168.1.51;192.168.1.11;102;49622;556;1;1;722914;;;
